id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
0,40,Wiraswasta,205047,SMA,9,Menikah LDR,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,>7jt
1,33,Pemerintah Lokal,298785,10th,6,Cerai,Supir,Laki2,0.0,0.0,40.0,<=7jt
2,26,Wiraswasta,106856,D4,11,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
3,54,Pekerja Bebas Perusahaan,117674,Sarjana,13,Menikah,Sales,Laki2,0.0,0.0,40.0,>7jt
4,48,Wiraswasta,268234,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,<=7jt
5,27,Pekerja Bebas Perusahaan,376936,SMA,9,Belum Pernah Menikah,Sales,Laki2,0.0,0.0,50.0,<=7jt
6,37,Pekerja Bebas Bukan Perusahan,168496,SMA,9,Cerai,Pembersih,Laki2,0.0,0.0,10.0,<=7jt
7,51,Wiraswasta,136080,SMA,9,Cerai,Sales,Perempuan,0.0,0.0,31.0,<=7jt
8,60,Wiraswasta,232242,SMA,9,Menikah,Sales,Laki2,0.0,0.0,40.0,<=7jt
9,44,Pemerintah Lokal,34935,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0.0,0.0,40.0,<=7jt
10,60,Pekerja Bebas Bukan Perusahan,187794,SMA,9,Menikah,Supir,Laki2,43442000.0,0.0,60.0,>7jt
11,25,Pemerintah Negara,165457,Sarjana,13,Belum Pernah Menikah,Tech-support,Laki2,34482000.0,0.0,40.0,<=7jt
12,48,Wiraswasta,146919,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0.0,0.0,45.0,<=7jt
13,19,Wiraswasta,286435,Pendidikan Tinggi,10,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,8316000.0,0.0,40.0,<=7jt
14,67,Wiraswasta,49401,D4,11,Cerai,Servis Lainnya,Perempuan,0.0,0.0,24.0,<=7jt
15,33,Pemerintah Lokal,222654,Pendidikan Tinggi,10,Menikah,Pembersih,Laki2,0.0,0.0,66.0,<=7jt
16,30,Wiraswasta,142921,D3,12,Belum Pernah Menikah,Spesialis,Perempuan,0.0,0.0,40.0,<=7jt
17,23,Wiraswasta,1038553,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,45.0,<=7jt
18,31,Wiraswasta,306459,1st-4th,2,Berpisah,Pembersih,Laki2,0.0,0.0,35.0,<=7jt
19,66,Wiraswasta,275918,SMA,9,Menikah,Ekesekutif Managerial,Laki2,148470000.0,0.0,40.0,>7jt
20,25,Wiraswasta,372728,Sarjana,13,Belum Pernah Menikah,Servis Lainnya,Perempuan,0.0,0.0,24.0,<=7jt
21,43,Wiraswasta,213844,SMA,9,Menikah LDR,Perbaikan Kerajinan,Perempuan,0.0,0.0,42.0,>7jt
22,28,?,162312,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0.0,0.0,40.0,<=7jt
23,39,Wiraswasta,101782,SMA,9,Cerai,Sales,Perempuan,0.0,0.0,40.0,<=7jt
24,36,Pemerintah Lokal,113337,Pendidikan Tinggi,10,Menikah,Tech-support,Laki2,0.0,0.0,42.0,>7jt
25,19,Pemerintah Lokal,268722,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,20.0,<=7jt
26,28,Wiraswasta,122922,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0.0,0.0,50.0,<=7jt
27,20,Wiraswasta,314422,SMA,9,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,30.0,<=7jt
28,51,Wiraswasta,82783,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
29,73,Pemerintah Lokal,114561,5th-6th,3,Janda,Servis Lainnya,Perempuan,0.0,0.0,25.0,<=7jt
30,44,Wiraswasta,207578,Sarjana,13,Menikah,Spesialis,Laki2,0.0,0.0,35.0,>7jt
31,47,?,104489,10th,6,Menikah,?,Laki2,0.0,0.0,45.0,<=7jt
32,56,Pekerja Bebas Perusahaan,42298,9th,5,Menikah,Ekesekutif Managerial,Laki2,0.0,0.0,40.0,<=7jt
33,33,Wiraswasta,376483,Sarjana,13,Menikah,Pemuka Agama,Perempuan,0.0,0.0,30.0,<=7jt
34,47,Wiraswasta,275867,SMA,9,Menikah,Spesialis,Laki2,0.0,0.0,40.0,<=7jt
35,58,Wiraswasta,111169,SMA,9,Cerai,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
36,33,Wiraswasta,111567,D4,11,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
37,25,Wiraswasta,259715,SMA,9,Menikah,Petani,Laki2,0.0,0.0,50.0,<=7jt
38,36,Wiraswasta,248445,SMA,9,Berpisah,Supir,Laki2,0.0,0.0,60.0,<=7jt
39,22,Wiraswasta,227626,SMA,9,Cerai,Supir,Laki2,0.0,0.0,40.0,<=7jt
40,47,Pekerja Bebas Perusahaan,156728,SMA,9,Menikah,Sales,Laki2,0.0,0.0,55.0,<=7jt
41,35,Wiraswasta,126569,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0.0,0.0,20.0,<=7jt
42,30,Wiraswasta,209768,D4,11,Menikah,Mesin Inspeksi,Laki2,0.0,0.0,40.0,>7jt
43,25,Wiraswasta,138765,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0.0,0.0,20.0,<=7jt
44,35,Wiraswasta,219902,D4,11,Belum Pernah Menikah,Pemuka Agama,Perempuan,0.0,0.0,40.0,<=7jt
45,28,Wiraswasta,154236,SMA,9,Belum Pernah Menikah,Supir,Laki2,36358000.0,0.0,40.0,<=7jt
46,41,Wiraswasta,84610,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0.0,26628000.0,60.0,>7jt
47,34,Wiraswasta,46492,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,50.0,>7jt
48,44,Wiraswasta,105475,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0.0,0.0,40.0,<=7jt
49,19,Wiraswasta,25429,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0.0,0.0,25.0,<=7jt
